"lng","lat","time","elevation","date"
22.761842989845,-32.3039618337415,"18:38:23",905,"2022-07-23"
22.761980369238,-32.3041264543198,"18:38:30",905,"2022-07-23"
22.762146750016,-32.3042969422303,"18:38:36",905.199999809265,"2022-07-23"
22.7622965346256,-32.3044718725495,"18:38:42",906.400000095367,"2022-07-23"
22.7624554555098,-32.3046388400607,"18:38:48",907.400000095367,"2022-07-23"
22.7625862131992,-32.3048084897809,"18:38:53",908,"2022-07-23"
22.7625888954083,-32.3048420173936,"18:38:54",908,"2022-07-23"
22.7624661843458,-32.3049363976233,"18:38:58",908,"2022-07-23"
22.7622013162056,-32.3050501400493,"18:39:05",908,"2022-07-23"
22.7619688022116,-32.3051838314049,"18:39:12",908,"2022-07-23"
22.7618755954484,-32.3053865896426,"18:39:19",908,"2022-07-23"
22.7619029204527,-32.3055703209602,"18:39:24",908,"2022-07-23"
22.7619635216126,-32.3057796170823,"18:39:30",907.400000095367,"2022-07-23"
22.7620344325135,-32.3059761727117,"18:39:36",907.199999809265,"2022-07-23"
22.7620994760821,-32.306164514076,"18:39:42",908,"2022-07-23"
22.7622096142897,-32.3063513466977,"18:39:48",910,"2022-07-23"
22.7623568843285,-32.3065400233381,"18:39:54",912.39999961853,"2022-07-23"
22.7624967782924,-32.3067228326462,"18:40:01",914.60000038147,"2022-07-23"
22.762635750247,-32.3068920632713,"18:40:08",916.200000762939,"2022-07-23"
22.7627698606977,-32.3070781415217,"18:40:15",917,"2022-07-23"
22.7628955054263,-32.3072589391731,"18:40:22",917,"2022-07-23"
22.7630141093562,-32.3074290079884,"18:40:28",917.200000762939,"2022-07-23"
22.7631185478697,-32.3076322691403,"18:40:35",916.200000762939,"2022-07-23"
22.7632339666763,-32.3078015835844,"18:40:41",915.199999809265,"2022-07-23"
22.7633643052707,-32.307969556924,"18:40:47",915.60000038147,"2022-07-23"
22.7634903690944,-32.3081578144692,"18:40:53",915.39999961853,"2022-07-23"
22.7636440093795,-32.3083399532251,"18:40:59",916,"2022-07-23"
22.7637829813341,-32.3085266182088,"18:41:06",916.200000762939,"2022-07-23"
22.7639103862623,-32.3087159654014,"18:41:13",916.200000762939,"2022-07-23"
22.7640568181107,-32.3088970145099,"18:41:20",915.39999961853,"2022-07-23"
22.7641760925928,-32.3090720286481,"18:41:26",914.199999809265,"2022-07-23"
22.7643288108686,-32.3092581907176,"18:41:32",913.39999961853,"2022-07-23"
22.7644648491571,-32.3094244038575,"18:41:38",913.199999809265,"2022-07-23"
22.7646238538602,-32.3095915390067,"18:41:44",914.39999961853,"2022-07-23"
22.7647499176839,-32.3097647091262,"18:41:50",915,"2022-07-23"
22.764866426138,-32.3099007474147,"18:41:55",916,"2022-07-23"
22.7651109262535,-32.3098714107536,"18:42:00",918,"2022-07-23"
22.7654526564458,-32.3097908606641,"18:42:07",919,"2022-07-23"
22.7657420835624,-32.3097000846528,"18:42:14",919,"2022-07-23"
22.7660750127563,-32.3096085542701,"18:42:21",918,"2022-07-23"
22.7664416372011,-32.3095292614661,"18:42:28",916.60000038147,"2022-07-23"
22.7667828644792,-32.3094579314701,"18:42:34",916,"2022-07-23"
22.7671395144591,-32.3094040358327,"18:42:40",915.199999809265,"2022-07-23"
22.7674754611382,-32.3093433508538,"18:42:45",914.800000190735,"2022-07-23"
22.7678336198608,-32.3092675784491,"18:42:51",914.199999809265,"2022-07-23"
22.7681528865526,-32.3092153591924,"18:42:56",914.199999809265,"2022-07-23"
22.7684674593786,-32.3091178776585,"18:43:02",914.800000190735,"2022-07-23"
22.7684661182741,-32.3090853558742,"18:43:03",915,"2022-07-23"
22.7684133961031,-32.3089567774795,"18:43:07",916,"2022-07-23"
22.7683261404911,-32.3088059870415,"18:43:12",916,"2022-07-23"
22.7681890125552,-32.3086318110936,"18:43:18",915.800000190735,"2022-07-23"
22.7680647089312,-32.3084624128305,"18:43:25",915.199999809265,"2022-07-23"
22.7679803869853,-32.3082758316659,"18:43:31",915,"2022-07-23"
22.767892377002,-32.3080940281861,"18:43:37",915.39999961853,"2022-07-23"
22.7677481244484,-32.3079163318388,"18:43:45",915.800000190735,"2022-07-23"
22.7676166123876,-32.3077296668552,"18:43:52",917.200000762939,"2022-07-23"
22.7675132635215,-32.307533446502,"18:43:59",917.60000038147,"2022-07-23"
22.7674102499316,-32.3073369746916,"18:44:06",916.39999961853,"2022-07-23"
22.7672868683169,-32.3071445261948,"18:44:12",915.39999961853,"2022-07-23"
22.767147141991,-32.3069737030082,"18:44:19",913.800000190735,"2022-07-23"
22.7670447151343,-32.3067971801274,"18:44:27",913.199999809265,"2022-07-23"
22.766956956608,-32.3066413605474,"18:44:33",913.60000038147,"2022-07-23"
22.7668926674107,-32.3065349103771,"18:44:38",913.800000190735,"2022-07-23"
22.7668520151803,-32.3063910769187,"18:44:43",914.199999809265,"2022-07-23"
22.7669905680398,-32.306346988108,"18:44:47",914.800000190735,"2022-07-23"
22.7672489821145,-32.3062402864807,"18:44:55",915.800000190735,"2022-07-23"
22.767554167209,-32.3061269631498,"18:45:04",916.200000762939,"2022-07-23"
22.767866057826,-32.3060480894409,"18:45:11",916.39999961853,"2022-07-23"
22.7681535571048,-32.306003330078,"18:45:17",916.60000038147,"2022-07-23"
22.7684970474968,-32.3059669526182,"18:45:22",916.799999237061,"2022-07-23"
22.7688335809091,-32.3058957902603,"18:45:28",917,"2022-07-23"
22.7690797574053,-32.3058445768319,"18:45:32",917.200000762939,"2022-07-23"
22.7694387543181,-32.3057880828045,"18:45:39",917.39999961853,"2022-07-23"
